BUSINESS,CATEGORY,TOPIC,SUBTOPIC,QUESTION,ANSWER
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,"Si me inscribo a un proceso de selección, es seguro que me den un empleo?","No, para adquirir el derecho a ser nombrado en una Entidad es necesario superar todas las etapas del proceso de selección y ocupar un lugar de elegibilidad dentro de la lista de elegible."
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Para inscribirme en un Proceso de Selección es necesario realizar algún pago?,"Si, de conformidad con el artículo 9 de la Ley 1033 de 2006, los aspirantes deberán cancelar los costos de participación en las convocatorias que adelante la Comisión Nacional del Servicio Civil."
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Cuál es el valor que debo pagar para participar en una convocatoria?,"Para empleos de los niveles técnico y asistencial: Un salario mínimo legal diario vigente, y para los demás niveles: un día y medio de salario mínimo legal diario vigente. El recaudo lo hará la CNSC o quien esta delegue."
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Puedo participar en varios empleos al mismo tiempo?,El aspirante sólo podrá inscribirse a un empleo por cada convocatoria; debido a que las pruebas se aplicarán en una misma sesión y en un único día.
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Qué norma regula las equivalencias para participar en un proceso de selección?,"En el orden Nacional, artículos 8 del Decreto Ley 770 de 2005 y 2 2 2 5 1 Decreto 1083 de 2015. En el nivel territorial artículo 25 del Decreto Ley 785 de 2005."
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Cuándo aplican las equivalencias para participar en un proceso de selección?,"Las equivalencias son aplicables en la etapa de verificación de requisitos mínimos, cuando los aspirantes no cumplen en forma directa con el requisito mínimo exigido para el empleo elegido, siempre y cuando se encuentren contempladas en la oferta pública de empleos y en el Manual Específico de Funciones."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es verificación de requisitos mínimos?,"Es la etapa mediante la cual se verifica el cumplimiento de los requisitos mínimos frente al empleo al cual aspira el concursante, el cual se realiza con base en la documentación aportada en el aplicativo SIMO en la forma y oportunidad establecidos por la CNSC."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué condiciones debe cumplir una certificación de experiencia para que ésta sea válida?,"Las certificaciones deben cumplir los siguientes requisitos: Nombre o razón social de la entidad que la expide, Empleo o empleos desempeñados, con fechas de inicio y terminación para cada uno de ellos, evitando el uso de la expresión: “actualmente”. Funciones de cada uno de los empleos desempeñados, salvo que la Constitución o la ley las establezca."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Cómo se acredita la experiencia adquirida con la ejecución de Contratos de Prestación de Servicios?,"Con certificaciones de ejecución o Actas de Liquidación o Terminación del contrato y deben contener como mínimo: Nombre o razón social de la entidad que la expide, Objeto contractual ejecutado, con fechas de inicio y terminación para cada uno de ellos, evitando el uso de la expresión actualmente. Obligaciones contractuales cumplidas con cada objeto contractual ejecutado."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Cómo se acredita la experiencia adquirida en forma independiente o en una empresa o entidad actualmente liquidada?,"Mediante declaración del aspirante rendida bajo la gravedad del juramento, siempre y cuando se especifiquen las fechas de inicio y terminación, tiempo de dedicación en horas día laborable y las funciones o actividades desarrolladas."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es un Manual Específico de Funciones y Competencias Laborales?,"Documento mediante el cual las Entidades describen los empleos que conforman la planta de personal y establecen las funciones, competencias laborales, requisitos de estudio y experiencia, el cual sirve de insumo para la Oferta Pública de Empleos de Carrera Administrativa."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Quién determina las profesiones en los requisitos de los empleos que se van a convocar mediante proceso de selección?,"La entidad destinataria del proceso de selección, es quien debe determinar: propósito principal, funciones esenciales, conocimientos básicos, competencias laborales y comportamentales, así como los requisitos de formación de académica que requieran los empleos de la planta de personal correspondiente."
CNSC,Chatbot,Procesos de selección,Convocatorias,Qué universidades se encuentran acreditadas para adelantar las convocatorias para proveer empleos públicos?,"Las Instituciones de Educación Superior que se encuentran acreditadas pueden ser consultadas en el siguiente enlace:
 https://www.cnsc.gov.co/index.php/informacion-y-capacitaciones/acreditacion-de-universidades"
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Por qué si cancelé los derechos de participación para una convocatoria no me han llamado a tomar posesión del empleo?,"Cancelar los derechos de participación, permite al aspirante la inscripción en el empleo seleccionado; para adquirir el derecho a ser nombrado, es necesario superar todas las etapas del proceso de selección y ocupar un lugar de elegibilidad dentro de la lista de elegibles."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es experiencia profesional?,"Por regla general, es la adquirida a partir de la terminación y aprobación del pensum académico de la respectiva formación profesional, en ejercicio de actividades propias de la profesión o disciplina académica exigida para el desempeño del empleo, salvo casos excepcionales que estén reglamentados en una norma especial."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es experiencia relacionada?,Es la adquirida en el ejercicio de empleos o actividades que tengan funciones similares a las del cargo a proveer.
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es experiencia profesional relacionada?,"Es la adquirida a partir de la terminación y aprobación del pensum académico de la respectiva formación profesional, diferente a la Técnica Profesional y Tecnológica, en el ejercicio de empleos o actividades que tengan funciones similares a las del empleo a proveer."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es experiencia laboral?,"Es la adquirida con el ejercicio de cualquier empleo, ocupación, arte u oficio."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es experiencia Docente?,Es la adquirida en el ejercicio de las actividades de divulgación del conocimiento obtenida en instituciones educativas debidamente reconocidas.
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,La experiencia técnica se puede acreditar como requisito para un empleo de nivel profesional o asesor?,"No, la experiencia que se debe acreditar para aspirar a empleos del nivel profesional o asesor, debe ser por lo menos la adquirida en empleos del nivel profesional."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,"Si terminé materias y no me he graduado, me puedo presentar a un empleo de nivel profesional?","No, en los empleos de nivel profesional como requisito mínimo para su desempeño se exige título Profesional."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Si soy extranjero y no tengo nacionalidad colombiana puedo participar en una Convocatoria?,"No, mientras no sea otorgada la nacionalidad colombiana, no hay posibilidad que se pueda acceder a cargos públicos en el Estado Colombiano."
CNSC,Chatbot,Procesos de selección,Convocatorias,Cuál es el mecanismo de la CNSC para dar a conocer sus convocatorias?,"Divulgar a través de la página www.cnsc.gov.co, redes sociales y en la página web de la entidad objeto del proceso de selección, a partir de la fecha que establezca la CNSC."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,A Cuántos empleos me puedo inscribir en cada convocatoria?,"El aspirante solo puede aplicar a un empleo por convocatoria, debido a que las pruebas se aplicarán en una misma sesión y en un único día."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,A cuántas convocatorias me puedo presentar?,"A todas las convocatorias en desarrollo, con inscripción a un empleo por cada convocatoria."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Puede presentarse un profesional a un cargo de un nivel técnico o asistencial?,"Si, puede postularse a cualquiera de los empleos que se ofertan, pero se debe tener presente que es deber de cada aspirante, revisar y verificar el cumplimiento de los requisitos mínimos."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Me puedo presentar a un cargo profesional si solo tengo experiencia técnica?,La experiencia técnica no puede ser homologada por experiencia profesional. Dentro del Proceso de Selección pueden existir empleos que no requieren algún tipo experiencia.
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Puedo participar en las convocatorias de la CNSC sin haber cumplido la mayoría de edad?,"No es posible que un menor de edad participe en convocatorias adelantadas por la CNSC; sin embargo, se puede registrar en el aplicativo SIMO y en el momento en que obtenga la Cédula de Ciudadanía, proceder a registrar el cambio de documento en Datos básicos Tipo de documento."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Cómo puedo consultar la oferta pública de empleo en el aplicativo simo?,"Para facilitar el proceso debe ingresar al siguiente enlace: https://simo.cnsc.gov.co/cnscwiki/doku.php?id=simo:documentos:manual_ciudadano#proceso_de_inscripcion , donde se indica paso a paso la forma de realizar la búsqueda de la OPEC (Oferta Pública de Empleo de Carrera)."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,"Puedo inscribirme a un empleo que exige tarjeta profesional, pero ésta se me extravió?","Si, en los casos que se requiera acreditar tarjeta o matrícula profesional, podrá sustituirse por certificación expedida por el organismo competente, en la cual conste, que dicho documento se encuentra en trámite, siempre y cuando se acredite el respectivo título o grado exigido para ese empleo."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Cómo puedo realizar el pago de los derechos de participación?,Para facilitar el proceso debe ingresar al siguiente enlace: https://simo.cnsc.gov.co/cnscwiki/doku.php?id=simo:documentos:manual_ciudadano#pagar_derechos_de_participacion donde se indica paso a paso la forma de realizar el pago.
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Cuáles son los canales autorizados para pagar derechos de participación?,"Todos los bancos a través de PSE
 Pago por Ventanilla en Banco Popular"
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,Qué debo hacer para registrar una institución o programa educativo que no aparece en la base de datos de SIMO?,Ingrese al aplicativo SIMO en el menú Formación y haga clic en Crear; si la institución o el programa no están en las listas predeterminadas debe elegir la opción Otro programa o institución y digitarlos manualmente.
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Qué son las equivalencias para participar en un proceso de selección?,"Las equivalencias corresponden a otra opción para acreditar el cumplimiento de los requisitos mínimos exigidos por un empleo, dada en las normas legales vigentes sobre la materia."
CNSC,Chatbot,Procesos de selección,Etapa de inscripción,"Para participar en un proceso de selección, es necesario cumplir tanto los requisitos mínimos exigidos por el empleo como las equivalencias en él contenidas?","No, al ser la equivalencia una alternativa para acreditar el cumplimiento de los requisitos mínimos exigidos por un empleo que están dados por Educación y Experiencia, solo es necesario cumplir los requisitos mínimos bien sea de manera directa o por aplicación de equivalencias"
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,Cuáles son los criterios de desempate dentro de una convocatoria?,Los criterio de desempate se encuentran contenidos en el Artículo 11 del Acuerdo 165 de 2020 de la CNSC. Para mayor información ingrese al siguiente enlace: https://www.cnsc.gov.co/index.php/normatividad/acuerdos
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Qué es educación formal?,"Es aquella que se imparte en establecimientos educativos aprobados, en una secuencia regular de ciclos lectivos, que conduce a la obtención de un título."
CNSC,Chatbot,Procesos de selección,Etapa de requisitos mínimos,Si no estoy conforme con los resultados de la verificación de requisitos mínimos puedo presentar reclamación?,"Si, las reclamaciones contra los resultados de verificación de requisitos mínimos se presentarán por los aspirantes únicamente a través del SIMO, frente a sus propios resultados, dentro de los 2 días hábiles siguientes a la fecha de publicación de los mismos."
CNSC,Chatbot,Procesos de selección,Prueba de ejecución y/o escrita,Si no estoy conforme con los resultados de la prueba escrita puedo presentar reclamación?,"Si, las reclamaciones contra los resultados de la prueba escrita se presentarán por los aspirantes únicamente a través del SIMO, frente a sus propios resultados, dentro de los 5 días hábiles siguientes a la fecha de publicación de los mismos."
CNSC,Chatbot,Procesos de selección,Prueba de ejecución y/o escrita,Si no estoy conforme con los resultados de la prueba de ejecución puedo presentar reclamación?,"Si, las reclamaciones contra los resultados de la prueba de ejecución se presentarán por los aspirantes únicamente a través del SIMO, frente a sus propios resultados, dentro de los 5 días hábiles siguientes a la fecha de publicación de los mismos."
CNSC,Chatbot,Procesos de selección,Valoración de antecedentes,Si no estoy conforme con los resultados de la valoración de Antecedentes puedo presentar reclamación?,"Si, las reclamaciones contra los resultados de la prueba de valoración de antecedentes se presentarán por los aspirantes únicamente a través del SIMO, frente a sus propios resultados, dentro de los 5 días hábiles siguientes a la fecha de publicación de los mismos."
CNSC,Chatbot,Procesos de selección,Valoración de antecedentes,Qué es Educación para el Trabajo y Desarrollo Humano?,"Es la que se imparte en instituciones públicas o privadas certificadas, con el objeto de complementar, actualizar, suplir conocimientos y formar, en aspectos académicos o laborales y conduce a la obtención de certificados de aptitud ocupacional. Duración mínima de la formación laboral 600 horas y formación académica 160 horas."
CNSC,Chatbot,Procesos de selección,Valoración de antecedentes,Qué es educación informal?,"Es el conocimiento adquirido de manera libre y espontánea, proveniente de personas, entidades, medios masivos de comunicación, con el objetivo de brindar oportunidades para adquirir, perfeccionar, renovar o profundizar conocimientos, habilidades, técnicas y prácticas. Duración inferior a 160 horas"
CNSC,Chatbot,Procesos de selección,Etapa de Inscripción,"Todas las equivalencias contempladas en las normas de nomenclatura, requisitos y equivalencias para los empleos públicos aplican en los procesos de selección?","No, es discrecional de las entidades determinar la aplicación de las equivalencias contempladas en el Decreto 1083 de 2015 para las entidades nacionales y el Decreto Ley 785 de 2005 para las entidades de nivel territorial."
CNSC,Chatbot,Procesos de selección,Convocatorias,Dónde puedo encontrar información sobre los Procesos de Selección y las reglas que lo rigen?,"Ingresando al sitio web de la CNSC en el siguiente enlace: https://www.cnsc.gov.co/, elija la opción: Convocatorias - En desarrollo, localizando el Proceso de Selección de su interés, de esta manera puede verificar los avisos informativos y la normatividad que corresponda al proceso de selección de su interés."
CNSC,Chatbot,SIMO,Registro,Qué es SIMO?,"Herramienta tecnológica denominada Sistema de Apoyo para la igualdad el Mérito y la Oportunidad, que permite a los usuarios registrarse, cargar y mantener actualizados los documentos relativos a la hoja de vida, consultar la Oferta Pública de Empleos de Carrera, realizar el proceso de preinscripción, pago e inscripción y el seguimiento a las etapas del proceso de selección."
CNSC,Chatbot,SIMO,Registro,Cómo me registro en SIMO?,"Para facilitar el proceso debe ingresar al enlace: https://simo.cnsc.gov.co/cnscwiki/doku.php?id=simo:documentos:manual_ciudadano#registro_para_usuarios_nuevos , donde se indica paso a paso la forma de realizar el registro."
CNSC,Chatbot,SIMO,Registro,Debo cargar mis documentos en SIMO cada vez que me voy a inscribir a una convocatoria?,"No, los aspirantes deben cargar en el aplicativo SIMO por única vez los documentos requeridos para participar en las diferentes convocatorias que realiza la CNSC; posteriormente podrán actualizar dicha documentación cada vez que lo consideren necesario, independientemente que deseen participar en varias convocatorias."
CNSC,Chatbot,Evaluación del Desempeño Laboral,Definición,Qué es Evaluación del Desempeño Laboral?,"Es una herramienta de gestión objetiva y permanente, encaminada a valorar las contribuciones individuales y el comportamiento del evaluado, midiendo el impacto positivo o negativo en el logro de las metas institucionales."
CNSC,Chatbot,Evaluación del Desempeño Laboral,Concertación y Ajustes de Compromisos,Cuál es el término para concertar los compromisos?,El término para concertar los compromisos es de 15 días hábiles siguientes al inicio del período de evaluación anual o de la posesión del servidor en período de prueba según corresponda.
CNSC,Chatbot,Evaluación del Desempeño Laboral,Concertación y Ajustes de Compromisos,Quiénes son los responsables de concertar los compromisos funcionales y comportamentales?,"Es un proceso de construcción participativa en el que tienen responsabilidad el evaluador o las comisiones evaluadoras, según corresponda y el evaluado."
