business,category,subcategory,question,answer
BANCOPPEL,Créditos,Help,¿En dónde puedo pagar mi tarjeta de crédito?,"Puedes realizar el pago de tu Tarjeta de Crédito: <br><br>
- Por medio de tu App BanCoppel y/o Banca por Internet.<br>
- Tiendas Oxxo.<br>
- En cualquier otro banco.<br>
- Directamente en sucursal BanCoppel o en tienda Coppel.<br><br>
Si deseas encontrar la sucursal más cercana da click aqui: https://www.bancoppel.com/geolocalizacion/"
BANCOPPEL,Créditos,Help,¿Cómo solicito la Tarjeta de Crédito Oro?,"La Tarjeta de Crédito Oro se encuentra disponible únicamente por invitación, y los requisitos para obtenerla son: <br><br>
1.- Identificación oficial vigente con fotografía (INE, pasaporte). <br>
2.- Excelente historial crediticio. <br>
3.- Ingreso mínimo mensual de $15,000.00 MN <br>
4.- Tener Tarjeta de Crédito BanCoppel Clásica. <br><br>
La Tarjeta de Crédito Oro es un medio de pago en Moneda Nacional diseñado para Clientes que demandan beneficios preferenciales y mayor financiamiento para sus compras."
BANCOPPEL,Créditos,Help,¿Cómo solicito la Tarjeta de Crédito BanCoppel?,"Para realizar la solicitud de la Tarjeta de Crédito BanCoppel solo tienes que acudir a cualquier Sucursal BanCoppel y cumplir con los siguientes requisitos: <br><br>
1.- Identificación oficial vigente con fotografía (INE, pasaporte).En caso de ser extranjero, presentar pasaporte vigente y documento migratorio FMM.<br>
2.- Comprobante de domicilio (no mayor a 3 meses).<br>
3.- Comprobante de ingresos (opcional). <br><br>
La Tarjeta de Crédito BanCoppel es un medio de pago que te da acceso a un crédito de forma fácil y oportuna para realizar compras diarias en cualquier establecimiento y retiros de efectivo."
BANCOPPEL,Créditos,Help,¿Cómo solicito un Préstamo Personal?,"Para realizar la solicitud de un Préstamo Personal solo tienes que acudir a cualquier Sucursal BanCoppel y cumplir con los siguientes requisitos:<br><br>
1.- Identificación oficial vigente con fotografía (INE, pasaporte). En caso de ser extranjero, presentar pasaporte vigente y documento migratorio FMM.<br>
2.- Comprobante de domicilio (no mayor a 3 meses).<br>
3.- Comprobante de ingresos (opcional).<br>
4.-Contar con una Cuenta Efectiva BanCoppel. <br><br>
El Préstamo Personal es un crédito simple, sin garantía específica y sin aval, cuyo destino es afrontar gastos o emergencias. Los plazos que puedes elegir es 12, 18 ó 24 meses. "
BANCOPPEL,Créditos,Help,¿Cómo solicito un Préstamo Digital?,"Para realizar la solicitud de un Préstamo Digital solo tienes que acudir a cualquier Sucursal BanCoppel y cumplir con los siguientes requisitos: <br><br>
1.- Identificación oficial vigente con fotografía (INE, pasaporte).   En caso de ser extranjero, presentar pasaporte vigente y documento migratorio FMM.<br>
2.- Comprobante de domicilio (no mayor a 3 meses). <br>
3.- Comprobante de ingresos (opcional).<br>
4.-Contar con una Cuenta Efectiva BanCoppel. <br><br>
El Préstamo Digital es un crédito simple en moneda nacional sin garantía especifica y sin aval cuyo destino es afrontar gastos, emergencias o imprevistos."
BANCOPPEL,Créditos,Help,¿Qué operaciones puedo hacer en la App BanCoppel?,"Las operaciones que puedes realizar en App BanCoppel son: <br><br>
- Abrir una Cuenta Clic desde donde estés, en menos de 5 minutos.<br>
- Consultar y Descargar tu Estado de Cuenta.<br>
- Bloquear y desbloquear temporalmente tus tarjetas de débito y crédito.<br>
- Realizar Retiros de efectivo sin tarjeta en cualquiera de nuestros más de 1,500 cajeros automáticos y ventanillas electrónicas BanCoppel, sin ninguna comisión.<br>
- Consultar tu saldo y movimientos.<br>
- Pagar tarjetas de crédito BanCoppel y de otros bancos.<br>
- Enviar dinero a cuentas BanCoppel y de otros bancos.<br>
- Comprar en línea de manera segura con el Código de Seguridad Dinámico<br>"
BANCOPPEL,Créditos,Help,¿Cómo puedo consultar mi estado de cuenta?,Si deseas obtener tu Estado de Cuenta de Crédito o Débito puedes hacerlo en tu Banca por Internet o activando el envío a tu correo electrónico en cualquier sucursal BanCoppel.
BANCOPPEL,Créditos,Help,¿En dónde puedo retirar efectivo?,"Para retirar de tu Tarjeta de Debito BanCoppel puedes hacerlo en:<br><br>
- Cajeros Automáticos BanCoppel<br>
- Tiendas de Autoservicio <br>
- Tiendas Oxxo<br>
- Tiendas Coppel<br>
- Sucursales BanCoppel<br><br>
Para más información ve el siguiente video:<br><br>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/akqr0YIlFas?controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
BANCOPPEL,Créditos,Help,¿Qué operaciones puedo hacer por la banca por Internet?,"Las operaciones que puedes realizar son: <br><br>
- Consulta de Saldos y Movimientos<br>
- Transferencia entre cuentas BanCoppel y otros bancos (SPEI)<br>
- Pago de Tarjeta de Crédito BanCoppel y de otros Bancos.<br>
- Transferencias y Pagos Programados<br>
- Pago de servicios e Impuestos<br>
- Compra de Tiempo Aire<br>
- Reporte de tarjetas por Robo, Extravío o cargo no reconocido.<br>
- Consulta de Estados de Cuenta<br>
- Consulta de Estado de Movimientos<br>
- Reimpresión de Comprobantes <br>
- Envío de Órdenes de pago para cobro en efectivo<br>
- Registro de Cuentas, tarjetas y servicios frecuentes<br><br>
Para operar el servicio de Banca por internet se requiere del dispositivo electrónico de seguridad Token Digital, el cual te permitirá autorizar las operaciones que realices. <br><br>
Activalo sin costo en la App BanCoppel."
BANCOPPEL,Depositos,Help,¿En donde puedo depositar efectivo a mi cuenta?,"Los medios para depositarle a tu Tarjeta de Débito BanCoppel Efectiva son los siguientes: <br><br>
- Traspasos entre cuentas propias en Banca por Internet, App BanCoppel o Sucursal. <br>
- SPEI de otro banco hacia BanCoppel. <br>
- Directamente en sucursal BanCoppel o en tienda Coppel.<br>
- Tiendas Oxxo.<br>
- Traspaso en Cajeros Automáticos BanCoppel<br>
- Ventanillas Electrónicas BanCoppel"
