business,category,subcategory,question,answer
cajatacna,Créditos,Créditos,¿Qué tipos de créditos otorga CAJA TACNA?,"Contamos con los siguientes productos:
Para hacer crecer tu negocio o empresa:
− Credipyme.
− Credifácil.
− Micro agropecuario.
− Agropecuario.
− Leasing.
− Carta Fianza.
Para comprar, construir, mejorar o remodelar vivienda:
− Crediconstruye.
− Mi terrenito.
− Hipotecario – CREDIHOGAR.
− Hipotecario – NUEVO CRÉDITO MIVIVIENDA.
− Hipotecario – CASAPLUS.
− Hipotecario – COMPLEMENTARIO TECHO PROPIO
Para tus necesidades personales:
− Garantía DPF.
− Crédito personal.
− Crédito por convenio.
− Multioficios.
− Prendario."
cajatacna,Créditos,Créditos,¿Cuáles son los requisitos para obtener un préstamo?,"Requisitos generales (fotocopia simple):
- DNI del solicitante y cónyuge.
- Último recibo de luz o agua.
- Documentos de propiedad según el tipo de crédito y monto:
o Documento imperfecto de vivienda o inmueble.
o Documento no inscrito.
o Documento inscrito en SUNARP.
Requisitos específicos (fotocopia simple):
Según el producto que se solicite, los requisitos y documentos requeridos se encuentran publicados en la página web de CAJA TACNA.
Los requisitos publicados son referenciales, CAJA TACNA se reserva el derecho de solicitar adicionalmente aquellos que sean necesarios para la calificación, evaluación y otorgamiento del crédito, teniendo en consideración el tipo de producto que solicite."
cajatacna,Créditos,Créditos,¿Desde qué monto me pueden prestar?,Otorgamos préstamos a partir de S/ 500.00 ó US$ 500.00
cajatacna,Créditos,Créditos,¿Hasta qué monto me pueden prestar?,"El monto máximo del crédito a otorgar, será determinado de acuerdo a la evaluación de la capacidad de pago del cliente y teniendo en consideración el límite establecido por la CAJA TACNA."
cajatacna,Créditos,Créditos,¿Qué tasa de interés me van a cobrar?,La tasa de interés varía de acuerdo al tipo de moneda y al monto del crédito. Nuestras tasas de interés se encuentran a su disposición en todas nuestras agencias y en la página web de CAJA TACNA.
cajatacna,Créditos,Créditos,¿Desde y hasta qué plazo me pueden otorgar préstamos empresariales - pymes?,"El plazo mínimo es de un mes y el máximo puede variar, dependiendo del tipo de crédito que se solicite y de acuerdo a su evaluación."
cajatacna,Créditos,Créditos,"¿Se paga algún seguro, por qué concepto?","Dependiendo del tipo y condiciones del crédito, CAJA TACNA podrá solicitarle la contratación de un seguro:
- Seguro de desgravamen, la que cubre el saldo capital pendiente de pago, en caso de fallecimiento o invalidez total y/o permanente del primer titular y cónyuge (si es que lo solicita).
- Seguro contra incendio o contra todo riesgo, la que cubre el valor de reconstrucción de la vivienda (sin incluir terreno), aplica sólo a crédito hipotecario.
- Seguro contra todo riesgo, cubre al bien ante un siniestro, aplica a crédito leasing.
Para mayor detalle de las coberturas y exclusiones de los seguros puede acceder a “Beneficios, riesgos y condiciones” de cada producto, en la página web."
cajatacna,Créditos,Créditos,¿Es obligatorio contratar los seguros ofrecidos por CAJA TACNA cuando solicito un préstamo?,"No, tienes derecho a elegir entre:
a) La contratación del seguro ofrecido por CAJA TACNA o,
b) Un seguro contratado directamente por ti o a través de la designación de un corredor de seguros, siempre que las condiciones cumplan a satisfacción de
CAJA TACNA con las siguientes condiciones:
Para mayor detalle de las condiciones puede acceder a “Beneficios, riesgos y condiciones” de cada producto, en la página web."
cajatacna,Créditos,Créditos,¿Cómo se cuánto es lo que debo pagar por el seguro desgravamen?,"El monto a pagar por el seguro de desgravamen, está señalado en el cronograma de pagos del crédito. Si desea estimar el monto a pagar, puede hacerlo utilizando nuestro simulador de créditos, al que accede a través de nuestra página web o consultando en nuestras agencias."
cajatacna,Créditos,Empresarial,No puedo sustentar mis ingresos ¿me pueden prestar si hipoteco mi casa?,"No, para el otorgamiento de créditos es importante que el solicitante sustente sus ingresos, ya que a través de estos se puede determinar su capacidad de pago."
cajatacna,Créditos,Empresarial,¿Puedo realizar pagos anticipados y adelanto de cuotas?,"Sí, puedes realizar pagos anticipados y adelanto de cuotas cuando lo desees. Para mayor detalle puede acceder a “Beneficios, riesgos y condiciones” de cada producto, en la página web."
cajatacna,Créditos,Empresarial,"¿Si pago anticipadamente mi préstamo, me cobran alguna penalidad?",No cobramos penalidad por pagos anticipados.
cajatacna,Créditos,Empresarial,¿Cuáles son los beneficios que obtengo con Crédito Pyme?,"Desembolsamos tu Préstamo en solo 24 horas (de acuerdo a tu evaluación crediticia).
Atención personalizada y asesoramiento permanente.
Fácil acceso para capital de trabajo o activo fijo.
Préstamos desde S/ 500.00 (quinientos soles) o US$ 500.00 (quinientos dólares americanos).
Hasta 60 meses para pagar.
Periodo de gracia hasta 90 días
Seguro de Desgravamen para el titular."
cajatacna,Créditos,Empresarial,¿Cuáles son los requisitos para aplicar a Crédito Pyme?,Ser propietario y conductor del negocio.
cajatacna,Créditos,Empresarial,¿Cuál es la documentación requerida para aplicar a Crédito Pyme?,"D.N.I. del solicitante y cónyuge.
Recibo de servicios: Agua o Luz
Documento que acredite vivienda propia
Documento del negocio: Constancia, Carnet de la Asociación de Comerciantes o Licencia de funcionamiento, RUC, otros
Documentos adicionales de acuerdo a evaluación"
cajatacna,Créditos,Empresarial,¿ Deseas un simulador de tu posible crédito?,Ingresa y obtén toda la información necesaria https://mkt.cmactacna.com.pe/SimuladoresCreditos/Inicio
cajatacna,Créditos,Empresarial,¿ Puedo aaceder a un crédito para mi emprendimiento?,"Creemos en el emprendimiento, por ello ofrecemos crédito Credtifácil para capital de trabajo a pequeños y microempresarios formales e informales, sin que sea necesario acreditar vivienda propia. Se financia actividades de comercio, producción o servicios."
cajatacna,Créditos,Empresarial,¿Cuáles son los beneficios que obtengo con Crédifacil?,"Desembolsamos tu préstamo en sólo 24 horas (de acuerdo a tu evaluación crediticia).
Atención personalizada y asesoramiento permanente.
Fácil acceso para capital de trabajo o activo fijo.
Préstamos desde S/ 500.00 (quinientos soles).
Hasta 24 meses para pagar, según modalidad.
Periodo de gracia de hasta 01 mes, según evaluación.
No es necesario acreditar vivienda propia.
Seguro de Desgravamen para el titular."
cajatacna,Créditos,Empresarial,¿Cuáles son los requisitos para aplicar a Crédito Pyme?,Ser propietario y conductor del negocio
cajatacna,Créditos,Empresarial,¿Cuál es la documentación requerida para aplicar a Crédito Pyme?,"D.N.I. del solicitante y cónyuge.
Recibo de servicios: Agua o Luz"
cajatacna,Créditos,Empresarial,Quiero conocer las tasas de interés activas - Crédito Empresarial,Revísalas en el siguiente link: https://cmactacna.com.pe/wp-content/uploads/2021/05/A-TI-UN-EM-02-21.pdf
cajatacna,Créditos,Consumo,¿Cuáles son los beneficios que obtengo con Crédito Personal?,"Desembolsamos tu préstamo en sólo 24 horas (de acuerdo a tu evaluación crediticia).
Atención personalizada y asesoramiento permanente.
Préstamos desde S/ 500.00 (quinientos soles).
Hasta 60 meses para pagar.
Seguro de desgravamen para la cancelación del saldo de capital pendiente en caso de fallecimiento o invalidez permanente.
Facilidades para el pago de tus créditos mediante nuestros canales electrónicos: Servicaja Virtual, Servicaja OnLine, CMAC Móvil, entre otros."
cajatacna,Créditos,Consumo,¿Cuáles son los requisitos para aplicar a Crédito Personal?,Antigüedad laboral mínima de 06 meses como profesional dependiente (planilla) o profesional independiente
cajatacna,Créditos,Consumo,¿Cuál es la documentación requerida para aplicar a Crédito Personal?,"D.N.I. del solicitante.
Recibo de servicios: Agua o Luz.
Documento que acredite vivienda propia.
Dos últimas boletas de pago o recibos por honorarios."
