business,category,subcategory,question,answer
estebanrios,Propietario,Propietario,¿Qué requisitos se necesita para consignar un inmueble en venta?,"Cédula del propietario, escrituras donde este la totalidad de los linderos, certificado de libertad y tradición (no mayor a 30 días) y último recibo del impuesto predial, pago o no pago."
estebanrios,Propietario,Propietario,¿Que requisitos para consignar un inmueble para arriendo?,"Para consignar un inmueble en arriendo es necesario una copia de los siguientes documentos:
- Escritura Pública, hasta los linderos.
- último recibo del Impuesto Predial.
- Cédula del propietario y/o su representante.
- RUT (destinación comercio o responsables de IVA).
- La parte normativa del régimen de Propiedad Horizontal (Articulo 8 Ley 820 de 2003) para conjuntos y edificios.
- Últimos recibos de servicios públicos (agua, luz, gas, teléfono).
- Último recibo de administración, si tiene.
- Dos duplicados de la puerta principal del inmueble y $45.000 que corresponden al costo de consignación."
estebanrios,Propietario,Propietario,¿Si mi inmueble se encuentra desocupado la Inmobiliaria se hace cargo del pago de los servicios públicos?,"Los recibos de servicios públicos que están por llegar y corresponden al inquilino que desocupó, serán cancelados oportunamente mediante duplicados con el dinero depositado por el arrendatario para cubrir estos gastos al momento de la desocupación, si el propietario cancela dichos recibos se generará pago doble y la Inmobiliaria no reconocerá ese valor a favor del propietario. 
Si el inmueble se encuentra en promoción y el propietario desea que la Inmobiliaria cancele la administración y los servicios públicos, debe autorizar directamente o por escrito para efectuar el pago con cargo a rentas que tenga de otros inmuebles o dejando la respectiva provisión para tal efecto. Si usted desea este servicio solicítelo con el Departamento de Servicios Públicos al teléfono 6352877 extensión 1103 y 1102 o al correo electrónico serviciospublicos@estebanrios.com."
estebanrios,Propietario,Propietario,¿Cuales son los requisitos para hacer avalúos a inmuebles?,"Los requisitos para hacer avalúos de inmuebles ya sean administrados por la inmobiliaria o no son los siguientes:
- Fotocopia de la Escritura pública solo linderos
- Certificado de libertad y tradición (no superior a 30 días) 
- Fotocopia del último impuesto predial
El precio esta dado por un porcentaje del avaluo catastral."
estebanrios,Propietario,Propietario,¿Con cuanto tiempo debo pasar una comunicación para que no se renueve el contrato de arrendamiento al arrendatario?,"De vivienda. Para contrato de vivienda debe enviar una notificación a la oficina con cuatro (04) meses de anterioridad a la fecha de vencimiento del contrato de arrendamiento y debe indicar el motivo por el cual necesita desocupado el predio. Enviar la información a desocupaciones@estebanrios.com.
De Comercio. Para contratos de comercio debe enviar el propietario una notificación a la oficina con más de seis (06) meses de anterioridad a la fecha de vencimiento del contrato de arrendamiento y debe indicar el motivo por el cual necesita desocupado el predio. Enviar la información a desocupaciones@estebanrios.com."
estebanrios,Propietario,Propietario,¿Cuándo se desocupa un inmueble de servicio compartido quién hace la cancelación de los servicios?,"La Inmobiliaria no efectúa el pago de recibos de servicios públicos que sean compartidos, estos recibos deben ser cancelados por usted o por la persona con la cual comparte el inmueble. Para el reintegro de dinero debe dirigirse a la Oficina Principal y presentar el recibo original cancelado, en caso que el inquilino no haya dejado depósito para cubrir el valor de los consumos que le corresponden, se pasará a recuperación por los valores adeudados, toda vez que la fianza de servicios no cubre los servicios compartidos."
estebanrios,Propietario,Propietario,¿Quién realiza los pagos de servicios públicos del inactivo?,Los realiza el departamento de servicios públicos hasta la fecha de corte y lecturas finales por medio de duplicados. (No se recogen originales en los inmuebles).Todo se hace a través de duplicados.
estebanrios,Propietario,Propietario,"¿Si se realiza un pago doble de un servicio, quién hace el reintegro?",El reintegro lo realiza la empresa del servicio público dentro de la misma facturación (no entregan efectivo).
estebanrios,Propietario,Propietario,¿Quienes deben cancelar las cuotas extraordinarias?,Es responsabilidad de los propietarios de acuerdo a las decisiones tomadas en las asambleas para un fin específico directamente con las áreas comunes del mismo.
estebanrios,Propietario,Propietario,¿Cómo puedo presentar una queja?,"Se puede presentar por escrito, por medio de e-mail (quejasyreclamos@estebanrios.com), pagina web, buzón de sugerencias, telefónica o personalmente.
El tiempo de respuesta es de cinco (05) días hábiles, contados desde el siguiente día de su radicación."
