business,category,subcategory,question,answer
virgin,Pagos,Help,¿Es seguro guardar mi tarjeta?,"¡Claro que sí! La información de tu tarjeta se vincula con la pasarela de pago, pero nadie tiene acceso a esa información. <br>
Recuerda que tu tarjeta debe permanecer guardada para no perder el débito automático y la promoción"
virgin,Pagos,Help,¿Puedo cambiar mi tarjeta sin perder la promo?,"¡Sí! Puedes cambiar o modificar tu tarjeta crédito o débito con CVV por otra de la misma o diferente franquicia en la sección de “Mi tarjeta guardada”, haz clic sobre el icono del lápiz y listo!.<br>
 Guarda los datos de la tarjeta nueva y verifica que tu producto siga activo, no perderás la promoción."
virgin,Pagos,Help,¿Puedo cambiar de plan sin perder la promo?,"¡Sí! puedes cambiar tu Plan actual por otro, en la sección de “Programar débito automático” aparece una opción de “Cambia este producto por otro” haz clic ahí y selecciona el Plan por el que deseas hacer el cambio, programa ese producto y listo!. <br>
Recuerda que tus recursos no se acumulan, cuando finalice la vigencia de tu producto actual se reemplazará por el producto nuevo que seleccionaste."
virgin,Pagos,Help,¿Y si mi tarjeta es débito pero no tiene CVV?,"Si tu tarjeta débito no tiene código de seguridad CVV o CVC, consúltalo directamente en tu entidad bancaria para que ellos te realicen el cambio de tarjeta. <br>
Recuerda que también podrás adquirir tarjetas virtuales fácilmente a través de Rappi, Nequi o Daviplata."
virgin,Pagos,Help,¿Cómo saber si mi tarjeta sirve para suscribir?,"- Tarjetas crédito: Aceptamos las franquicias de Visa, Mastercard, Diners, American Express. Y Nequi y Daviplata aunque son tarjetas virtuales son aceptadas como Tarjetas crédito. <br>
- Tarjetas débito con CVV o CVC: Aceptamos las tarjetas de Bancolombia y Rappi."
virgin,Pagos,Help,¿Puedo suscribir más de una línea con mi tarjeta?,"¡Sí! solo necesitas tener 1 tarjeta guardada y encender el débito automático de las líneas que estén vinculadas a tu cuenta.<br>
En la parte superior al lado de tu nombre verifica y selecciona la línea que quieres suscribir."
virgin,Renovación,Help,¿Cómo puedo saber cuándo se va a renovar mi plan?,En la sección de “Mis Recursos” puedes ver hasta las 4 próximas fechas y horas en las que se renueva tu producto.
virgin,Suscripción,Help,¿Si tengo mi plan suscrito y activo un plan por otro canal pierdo la promoción?,"No pierdes la promoción de tu producto suscrito, sin embargo quedas con 2 productos activos simultáneamente."
virgin,Suscripción,Help,¿Por qué canales puedo activar mi suscripción?,"A través de la página web desde tu computador o celular, desde app y también marcando a través de tu celular en el *111# opción 2 en Planes de 30 días, eliges el que quieras y sigue los pasos."
virgin,Suscripción,Help,¿Por qué puedo perder la promoción?,Puedes llegar a perder tu promoción de suscripción si desactivas tu débito automático o también si en el momento del cobro no tienes saldo suficiente en tu tarjeta o se encuentra alguna falla relacionada a tu tarjeta guardada.
virgin,Pagos,Help,Al momento de validar tu tarjeta se cobra $100 o $1000 ¿Ese dinero se devuelve?,"Si tu tarjeta es de crédito se validará que tenga fondos suficientes haciendo un cobro de $100 que se devolverán a tu tarjeta.<br>
Si tu tarjeta es débito con CVV o CVC, se validará que tenga fondos suficientes haciendo un cobro de $1.000 que se devolverán a tu tarjeta."
virgin,Plan,Help,¿Cuánto tiempo se demora en activar por primera vez el plan?,"Si es la primera vez que suscribes tu producto, tardaremos 10 minutos máximo en realizar el cobro para que puedas disfrutar de este.<br>
Si ya tienes un producto activo y programado e hiciste el cambio por otro, recuerda que cuando finalice la vigencia de tu producto actual se reemplazará por el producto nuevo que seleccionaste."
virgin,Plan,Help,¿Qué pasa si tengo un plan activo pero quiero programar el débito automático para suscribirlo?,"Ingresa o regístrate en la página web y en la sección de “Guardar Tarjeta” realiza el proceso solicitado para que enciendas el débito automático de tu plan actual, inmediatamente tu producto quedará suscrito pero el cobro del producto se realizaría en cuanto finalice la vigencia del producto que tienes actualmente."
virgin,Saldos,Help,¿Qué debo hacer si tengo un adelanto de saldo en mi línea?,"Debes tener el valor disponible en tu tarjeta guardada para pagar el Plan y el adelanto que solicitaste en el momento que se realice el débito automático. <br>
Ejemplo si tu Plan es de $40.000 y solicitaste adelanto por $2.000 debes tener $42.200 en tu tarjeta para que la transacción sea efectiva."
